name,rating,review_time,variant,comment,like_count
F***i,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,barang diterima dengan baik. layar jernih,0
k***t,5,Lebih dari 1 tahun lalu,,"mantaaap & cepaaaat, makasiih kak👍",0
Angga,5,10 bulan lalu,Varian: A 32 Pro,alhamdulillah lancar dan normal moga awet,0
A***l,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,barang original dan lengkap. terimakasih,0
Abdul,5,4 bulan lalu,,barang original packing rapi dan aman.,0
H***o,5,5 bulan lalu,Varian: A 32 Pro,"mantul tul tul tul 
👍👍👍👍👍",1
Yongki,5,Lebih dari 1 tahun lalu,,barang original dan berfungsi dgn baik.,2
Sularto,5,Lebih dari 1 tahun lalu,,bagus sesuai diskripsi dan packing rapi,0
Rizky,5,5 bulan lalu,,"mantap barang sesuai,",2
Topan,5,8 bulan lalu,Varian: A 32 Pro,"barang sesuai, packing ok. semoga awet",2
Ali,5,Lebih dari 1 tahun lalu,,"thanks minnn, cepat sampai semoga awet",2
S***h,4,Lebih dari 1 tahun lalu,,Tv nya udh smpe alhamdulillah sampe dgn selamat meskipun rada ngeri karna packingnya cuma pake BW udh gitu sm kurir dibawa pake motor bkn pake mobil pdhl pake yg cargo se...,5
Ikbar,5,4 bulan lalu,,"Terima kasih, semoga awet selalu...",0
F***a,5,Lebih dari 1 tahun lalu,,"Semoga awet, Ukuran nya 32inch pas",0
Iriantosutraguna,4,Lebih dari 1 tahun lalu,,brg sdh tiba dan sesuai dg yg dibic kan..mks kk,1
D***n,5,10 bulan lalu,Varian: A 32 Pro,barang sangat mantap dan original,1
Sukron,5,Lebih dari 1 tahun lalu,,semoga awaet..pengiriman cepat..,1
S***N,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,barang sampai dengan selamat .,0
a***i,1,Lebih dari 1 tahun lalu,,"barang pecah saat pengiriman, pihak Xiaomi tidak bertanggungjawab, pihak Tokopedia, kurir dan asuransi sudah oke, tapi pihak Xiaomi NOL, LEPAS TANGAN.",16
Rendi,5,1 minggu lalu,Varian: NEW! TV A 32 Pro 2026,barang mantap menyala abangku,0
f***l,5,Lebih dari 1 tahun lalu,,barang ORI pengiriman cepat,0
Teratri,5,10 bulan lalu,Varian: A 32 Pro,Mantap aman sampai tujuan.,0
Muh,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,Alhamdulillah bagus tv nya,1
R***a,5,Lebih dari 1 tahun lalu,,"mantull cepet  asik
jos",1
A***d,5,Lebih dari 1 tahun lalu,,barang bagus n original,2
El,5,1 minggu lalu,Varian: NEW! TV A 32 Pro 2026,pengiriman cepat. tv ok,4
Muhammad,5,11 bulan lalu,Varian: A 32 Pro,bagus bgt memang xiaomi,0
Rafsanzani,5,Lebih dari 1 tahun lalu,,diterima sesuai pesanan,0
Barito,5,Lebih dari 1 tahun lalu,,Barang bagus dan murah,0
M***t,5,3 minggu lalu,Varian: NEW! TV A 32 Pro 2026,Berfungsi dengan baik!,0
w***a,5,Lebih dari 1 tahun lalu,,Masyaallah semoga awet,0
Fajar,5,Lebih dari 1 tahun lalu,,packing aman bangetttt,0
Hery,5,8 bulan lalu,Varian: A 32 Pro,mantap...kondisi aman,1
Citra,5,Hari ini,Varian: NEW! TV A 32 Pro 2026,Sesuai deskripsi,0
V***i,5,Lebih dari 1 tahun lalu,,mantap smpenya cepet banget .. semoga gada kendala,0
Rachmat,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,darangvsesuai prediksi. belum dibuka karena untuk hadiah ulang tahun,0
Tatang,5,Lebih dari 1 tahun lalu,,okokokokokokokokokokokokokokokokokokokokokokokokokokok.....,4
Ade,5,7 bulan lalu,Varian: A 32 Pro,"oke boskuh, barang sdh nyampe dan aesuai otderan. tq",0
sugeng,5,Lebih dari 1 tahun lalu,,"barang bagus sesuai pesanan dan pengiriman juga cepat dan aman,semoga tv nya awet",0
Fajar,5,Lebih dari 1 tahun lalu,,"TV nya bagus, kurir juga cepet. Keren sih harga segini dapet google tv",0
Farhan,5,Lebih dari 1 tahun lalu,,"barang sampai dengan selamat, kurir extra cepet. mantep pokonya.",0
